scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
SBS,28,B1,8592,R3,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,1,0,0,0,0,2,5,,TRUE,P,FALSE,0,0,4,NA,,
SZ,28,B2,6802,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,TRUE,D,FALSE,0,0,4,NA,,
RL,28,R1,614,R2,FALSE,TRUE,0,1,0,0,0,TRUE,TRUE,0,0,2,7,1,0,0,,FALSE,No,FALSE,0,0,3,NA,,
SZ,29,B2,617,R3,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
YR,29,B3,1262,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,4,1,0,,FALSE,P,FALSE,0,0,3,NA,,
SBS,29,B1,1731,R2,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,0,0,0,0,1,3,5,,TRUE,D,FALSE,0,0,5,NA,,
JY,29,R2,9003,R3,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,1,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,got coral stuck so did ground algae scoring
GL,29,R1,4472,R2,FALSE,TRUE,0,1,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Switched to def halfway. Defense>offense slightly
KO,30,R2,2998,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,3 misses
AY,30,R3,3361,R3,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Tried counter-d
SBS,30,B1,10257,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,1,NA,,"Damaged last match, didn»t recover"
SZ,30,B2,2988,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,4,NA,,Attempted defense?
FL,30,B3,1086,,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,1,,FALSE,No,FALSE,0,0,3,NA,,
GL,30,R1,3373,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,,TRUE,D,TRUE,0,0,3,NA,,Climb time is long (arguably cutting cycling)
FL,31,B3,4286,R2,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
LJ,31,R1,539,R2,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,2,1,0,0,0,,FALSE,No,FALSE,0,0,4,NA,,"Intake jammed, parked early"
RX,31,B2,3258,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
KO,31,R2,6802,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,,TRUE,D,TRUE,0,0,4,NA,,Wobbly intake
AZ,31,R3,10224,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,4,,FALSE,P,FALSE,0,0,2,NA,,Missed 2 corals
SR,31,B1,10370,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Got stuck on an algae and smashed into the cages
SBS,32,B1,6326,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Defense all game on 2106
SZ,32,B2,449,R3,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,0,0,0,0,2,5,8,,FALSE,P,FALSE,0,0,5,NA,,Coral got stuck on robot
RX,32,R1,4505,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,,FALSE,P,FALSE,0,0,4,NA,,Coral got stuck on robot
"KO, AY",32,R2,2106,R1,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,1,0,0,1,5,,TRUE,P,FALSE,0,0,5,NA,,No Card
WR,32,R3,614,R2,FALSE,TRUE,0,4,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
FL,32,B3,9709,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,,FALSE,P,FALSE,0,0,3,NA,,
KO,33,R2,8592,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,2,4,3,,TRUE,D,TRUE,0,0,5,NA,,
WR,33,R3,1895,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,1,1,,TRUE,P,FALSE,0,0,3,NA,,
FL,33,B3,540,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,3,2,0,,FALSE,No,FALSE,0,0,4,NA,,Consistent
SBS,33,B1,5724,R2,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,0,0,2,0,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Near the end coral got stuck in bot
SZ,33,B2,346,R3,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,,TRUE,P,TRUE,0,0,5,NA,,Coral fell out of intake into robot
RX,33,R1,4472,R1,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,2,0,2,0,0,,FALSE,P,FALSE,0,0,2,NA,,
KO,34,R2,1731,R2,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,1,0,1,5,,TRUE,D,TRUE,0,0,5,NA,,
WR,34,R3,339,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,3,0,0,,TRUE,P,FALSE,0,0,2,NA,,
RX,34,R1,5804,R3,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,1,,FALSE,P,FALSE,0,0,3,NA,,
SZ,34,B2,1599,R1,FALSE,TRUE,0,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,,TRUE,P,FALSE,0,0,4,NA,,Missed intake a lot
SBS,34,B1,404,R2,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,0,0,7,0,0,0,0,,FALSE,No,FALSE,0,0,4,NA,,Last algae went thru the sensor after buzzer
FL,34,B3,1522,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,1,0,,FALSE,P,FALSE,0,0,3,NA,,Got coral stuck on frame
RX,35,R1,10257,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Hung for 20s
WR,35,R3,6802,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,,TRUE,D,TRUE,0,0,3,NA,,Hung for 20s
SBS,35,B1,4286,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,2,NA,,Parked at the algae station for the whole match
RS,35,B3,3373,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,TRUE,D,TRUE,0,0,2,NA,,"Coral stuck, no defense, spent all match climbing"
AZ,35,R2,3361,R2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,1,NA,,"Didn»t do anything, tried to remove algae and fail"
SZ,35,B2,1262,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,3,2,0,,FALSE,P,FALSE,0,0,5,NA,,
WR,36,R3,4472,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,2,1,3,0,2,0,0,,TRUE,P,FALSE,0,0,3,NA,,kind of slow
SZ,36,B2,9214,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,1,1,2,0,,FALSE,P,FALSE,0,0,4,NA,,kind of slow
YZ,36,R1,10370,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Went for L1 then defense
RS,36,B3,6326,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Defense all game.
BH,36,B1,539,,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
RN,36,R2,5724,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,3,0,1,0,0,,FALSE,P,FALSE,0,0,2,NA,,
YZ,37,R1,10224,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,1,1,5,,FALSE,P,FALSE,0,0,3,NA,,Trouble loading
SY,37,R2,9709,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Trouble loading
SZ,37,B2,1731,R2,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,1,2,3,,TRUE,D,FALSE,0,0,5,NA,,
BH,37,B1,8592,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,3,3,3,,TRUE,D,FALSE,0,0,3,NA,,No Card
RS,37,B3,2106,R2,FALSE,TRUE,0,1,0,0,1,FALSE,FALSE,0,0,0,0,1,0,1,,TRUE,P,TRUE,0,0,3,NA,,"Tried L1, failed >8 times."
WR,37,R3,339,R2,FALSE,TRUE,0,0,1,0,0,FALSE,FALSE,0,0,0,0,1,2,0,,FALSE,No,FALSE,0,0,1,NA,,
YZ,38,R1,9003,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,2,,FALSE,No,FALSE,0,0,2,NA,,Needs very precise positioning for intake
SZ,38,B2,1086,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,1,5,0,,FALSE,No,FALSE,0,0,5,NA,,
Frank,38,R3,1599,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,,TRUE,D,TRUE,0,0,2,NA,,Extra slow but deep climb cool. Human player :(
SY,38,R2,540,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,3,3,0,,FALSE,P,FALSE,0,0,3,NA,,"Good cycle, no L4, semi-inconsistent feed"
BH,38,B1,4505,R3,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,2,,FALSE,P,FALSE,0,0,2,NA,,Inconsistent
RS,38,B3,404,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,5,0,0,0,0,,FALSE,No,FALSE,0,0,4,NA,,Took from reef. No opp. human player
YZ,39,R1,2988,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,2,NA,,Defense
SY,39,R2,449,R1,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,0,1,2,7,,FALSE,P,FALSE,0,0,5,NA,,Motor issue for L4 :(
SZ,39,B2,5804,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,3,0,3,,FALSE,P,FALSE,0,0,5,NA,,
BH,39,B1,1522,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,6,0,,FALSE,P,FALSE,0,0,3,NA,,Really good at algae removal
ADK,39,B3,346,R3,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,6,,FALSE,P,FALSE,0,0,2,NA,,Intake was unreliable
Frank,39,R3,3258,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,,FALSE,P,FALSE,0,0,1,NA,,How miss L1 four times. Que paso?
AW,40,R3,617,R3,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,1,NA,,"Didn't try to pick up anything, or defend"
YZ,40,R1,6802,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,,TRUE,D,FALSE,0,0,2,NA,,
SZ,40,B2,1262,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,5,4,0,,FALSE,P,FALSE,0,0,5,NA,,
ADK,40,B3,1895,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,4,,FALSE,P,FALSE,0,0,2,NA,,"Very wobbly, might tip over"
BH,40,B1,2998,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
Frank,40,R2,614,R2,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,0,0,2,0,2,0,0,,FALSE,No,FALSE,0,0,2,NA,,"Stuck coral, didn't see the starting pos"
ADK,41,B3,1086,R2,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,1,1,2,0,1,,FALSE,No,FALSE,0,0,3,NA,,
BH,41,B1,339,R1,FALSE,TRUE,0,0,1,0,0,FALSE,FALSE,0,0,0,0,2,1,0,,FALSE,No,FALSE,0,0,3,NA,,
Frank,41,R2,9709,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,1,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Bad human player. Eh driving really slow ngl
YZ,41,R1,10257,R1,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,1,0,0,0,0,,FALSE,P,FALSE,0,0,1,NA,,Coral intake was41391t really working
AW,41,R3,539,R2,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,0,6,0,0,0,,FALSE,P,FALSE,0,0,4,NA,,"Tried to algae processor, could41391t"
RL,41,B2,540,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,1,4,0,,FALSE,No,FALSE,0,0,4,NA,,Speedy but indecisive driver
ADK,42,B3,4505,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,,FALSE,No,FALSE,0,0,2,NA,,Missed a lot of attempted shots
YZ,42,R1,5724,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,Disconnected/disabled
YZ,43,R1,617,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Disabled
ADK,43,B3,8592,R2,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,1,0,0,0,3,4,5,,TRUE,P,FALSE,0,0,3,NA,,
AW,43,R3,1599,R3,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,1,,FALSE,P,FALSE,0,0,3,NA,,Got a piece of coral stuck in it
Frank,43,R2,2998,R2,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
SZ,43,B2,3258,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,,FALSE,P,FALSE,0,0,5,NA,,Kitbot
BH,43,B1,3361,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Broken / ineffective correl intake method
SZ,44,B2,1895,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,5,,FALSE,P,FALSE,0,0,5,NA,,Kind of slow
AW,44,R3,2106,R3,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,2,3,,TRUE,P,FALSE,0,0,4,NA,,A bit shaky
YZ,44,R1,5804,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,5,2,0,,FALSE,P,FALSE,0,0,3,NA,,Intake does41391t hold onto coral very well
ADK,44,B3,10370,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
RL,44,R2,404,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,4,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Scored 2 in blue processor ??? Forced coopertition
BH,44,B1,6326,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Amazing defense worth around 3 L4 in my opinion
AW,45,R3,4472,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,2,0,1,4,0,,FALSE,P,FALSE,0,0,4,NA,,Nice algae
BH,45,B1,9003,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,4,2,2,,FALSE,P,FALSE,0,0,3,NA,,
YZ,45,R1,4286,R3,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,Was taken off the field
Frank,45,B2,449,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,8,0,0,,FALSE,P,TRUE,0,0,4,NA,,Cooked. But good try.
ADK,45,B3,1522,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,2,0,0,4,0,,FALSE,P,FALSE,0,0,3,NA,,
ADK,46,B3,614,R2,FALSE,TRUE,0,1,0,0,0,FALSE,TRUE,0,0,3,5,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,
AW,46,R3,3373,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,2,,TRUE,P,FALSE,0,0,3,NA,,Poor balance
YZ,46,R1,1731,R1,FALSE,TRUE,0,0,0,0,2,FALSE,FALSE,0,0,0,0,0,3,4,,TRUE,D,FALSE,0,0,4,NA,,Multiple corals knocked out by defense
BH,46,B1,346,R3,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,An algae got stuck they dealt with great Defense
AZ,46,R2,10257,R2,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,1,NA,,"Really weird driving, tried to defend the defense?"
SZ,46,B2,8592,R1,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,0,0,5,5,,TRUE,D,FALSE,0,0,5,NA,,woah!!
AW,47,R3,9214,R2,FALSE,TRUE,0,1,0,0,0,TRUE,FALSE,0,0,0,0,1,3,0,,FALSE,No,FALSE,0,0,2,NA,,Na
YZ,47,R1,3258,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,
SZ,47,B2,339,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,1,1,0,,FALSE,No,FALSE,0,0,4,NA,,Dropped coral a lot
ADK,47,B3,539,R2,FALSE,TRUE,0,1,0,0,0,FALSE,TRUE,0,0,2,2,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,Dropped a lot while intaking
BH,47,B1,1262,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,1,3,0,,FALSE,P,FALSE,0,0,3,NA,,Great at algae cannot do L4
KO,47,R2,1895,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,4,,FALSE,No,FALSE,0,0,4,NA,,Wobbly intake
YZ,48,R1,9003,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,4,3,,FALSE,P,FALSE,0,0,4,NA,,
BH,48,B1,540,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,2,7,0,,FALSE,No,FALSE,0,0,3,NA,,
ADK,48,B3,4286,R2,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
SZ,48,B2,449,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,9,0,0,,FALSE,P,FALSE,0,0,5,NA,,yippee
AY,48,R2,6326,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
ADK,49,B3,10224,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,2,0,1,0,0,,FALSE,P,FALSE,0,0,2,NA,,
Frank,49,B2,1731,R3,FALSE,TRUE,0,0,0,0,3,FALSE,FALSE,0,0,0,0,3,5,2,,TRUE,D,TRUE,0,0,5,NA,,
FL,49,B1,404,R2,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,0,0,5,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
AW,49,R2,1086,R2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,1,0,2,3,0,,FALSE,No,FALSE,0,0,3,NA,,
FL,50,B1,2988,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,
Frank,50,B2,4505,R2,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,1,0,1,2,,FALSE,No,FALSE,0,0,3,NA,,
AW,50,R2,617,,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
JY,50,R3,1522,R3,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,1,0,0,3,0,,TRUE,P,FALSE,0,0,3,NA,,
ADK,50,B3,5724,R1,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,0,0,3,0,1,0,0,,FALSE,P,FALSE,0,0,2,NA,,
AW,51,R2,10370,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,
FL,51,B1,1599,R3,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,1,3,0,,TRUE,D,FALSE,0,0,2,NA,,
ADK,51,B3,5804,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,3,0,,FALSE,P,FALSE,0,0,2,NA,,
Frank,51,B2,4472,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,2,1,2,0,0,,FALSE,P,FALSE,0,0,3,NA,,
JY,51,R3,2998,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,11,0,0,0,,FALSE,No,FALSE,0,0,4,NA,,
FL,52,B1,3258,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,Kept trying to score coral and failing
AW,52,R2,9003,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,2,3,1,1,,FALSE,P,FALSE,0,0,4,NA,,Pretty slow also I don?t owe Jeffery ji skittles
Frank,52,B2,6326,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,1,NA,,Probably no opposite side reef
ADK,52,B3,3373,,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,,TRUE,D,TRUE,0,0,2,NA,,2/5 defense
DK,52,R1,539,R2,FALSE,TRUE,0,1,0,0,0,FALSE,TRUE,0,0,2,4,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,"decent cycling, slow elevator"
JY,52,R3,8592,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,2,0,0,0,1,3,,FALSE,No,FALSE,0,0,5,NA,,Dropped a lot while intaking
JY,53,R3,1086,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,3,3,0,,FALSE,No,FALSE,0,0,4,NA,,
ADK,53,B3,617,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
FL,53,B1,9709,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,,FALSE,P,FALSE,0,0,3,NA,,
DK,53,R1,2106,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,1,1,1,3,4,,TRUE,P,FALSE,0,0,4,NA,,
TA,53,B2,4286,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,0,0,2,NA,,
AW,53,R2,346,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,1,0,0,,FALSE,P,FALSE,0,0,2,NA,,
SZ,54,B2,5804,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,1,2,1,,FALSE,P,FALSE,0,0,5,NA,,
FL,54,B1,10370,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
Frank,54,R1,1522,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,2,0,4,0,,FALSE,No,FALSE,0,0,3,NA,,
ADK,54,B3,10257,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,2,NA,,
JY,54,R3,4472,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,1,0,0,0,0,0,,FALSE,P,FALSE,0,0,3,NA,,
AW,54,R2,4505,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,,FALSE,P,FALSE,0,0,3,NA,,
AW,55,R2,6802,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,TRUE,P,FALSE,0,0,3,NA,,
SZ,55,B2,1599,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,1,2,0,0,,TRUE,D,FALSE,0,0,5,NA,,
Frank,55,R1,449,R1,FALSE,TRUE,0,0,0,0,2,FALSE,FALSE,0,0,0,0,3,2,5,,FALSE,P,FALSE,0,0,4,NA,,
FL,55,B1,2988,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,
JY,55,R3,1262,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,2,4,0,,FALSE,P,FALSE,0,0,4,NA,,
ADK,55,B3,1731,R2,FALSE,TRUE,0,0,0,0,3,FALSE,FALSE,0,0,0,0,0,0,7,,TRUE,P,FALSE,0,0,3,NA,,
FL,56,B1,3361,R2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,0,0,3,NA,,2/5 defense
AW,56,R2,339,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,2,0,,FALSE,No,FALSE,0,0,4,NA,,Na
ADK,56,B3,540,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,6,5,0,,FALSE,No,FALSE,0,0,3,NA,,
